#TIME;TRIAL;RESPONSE;RT;PRIME;TARGET;TYPE;RESULT;QUESTION
864.0;179;0;0.5009;1;0;incongruent;correct;0
867.1;180;1;0.4675;1;1;congruent;correct;0
870.3;181;1;0.4848;1;0;incongruent;incorrect;0
888.9;182;0;0.8683;1;0;congruent;correct;0
893.0;183;0;0.6849;1;0;congruent;correct;1
897.8;184;0;0.5183;1;0;incongruent;correct;0
901.4;185;1;0.7179;1;1;incongruent;correct;0
904.9;186;0;0.5844;1;0;incongruent;correct;0
908.0;187;0;0.5677;1;0;incongruent;correct;1
913.5;188;1;0.5181;1;1;congruent;correct;0
916.6;189;1;0.4515;1;1;incongruent;correct;0
920.1;190;1;0.4514;1;1;congruent;correct;0
923.2;191;0;0.5012;1;1;incongruent;incorrect;0
926.9;192;0;0.518;1;0;incongruent;correct;0
930.3;193;1;0.4512;1;1;incongruent;correct;0
933.6;194;1;0.6011;1;1;congruent;correct;0
936.9;195;1;0.6184;1;1;congruent;correct;0
940.3;196;1;0.6182;1;1;congruent;correct;0
943.3;197;0;0.6847;1;0;incongruent;correct;0
947.4;198;1;0.6176;0;1;incongruent;correct;0
951.0;199;0;0.6015;0;0;congruent;correct;0
954.1;200;1;0.6015;1;0;incongruent;incorrect;0
957.9;201;0;0.6183;0;0;congruent;correct;0
961.1;202;1;0.468;1;1;congruent;correct;0
964.5;203;1;0.5344;1;1;congruent;correct;0
967.9;204;1;0.4674;1;1;congruent;correct;0
970.8;205;0;0.6344;1;0;congruent;correct;0
974.0;206;0;0.3679;0;0;congruent;correct;0
977.1;207;1;0.3679;1;1;congruent;correct;0
980.6;208;1;0.4346;0;1;incongruent;correct;0
984.3;209;0;0.4346;1;0;incongruent;correct;1
988.7;210;1;0.6681;1;1;congruent;correct;0
992.4;211;1;0.5515;1;1;congruent;correct;0
1019.0;212;0;0.5008;0;0;congruent;correct;0
1022.0;213;1;0.4842;1;1;congruent;correct;0
1026.0;214;1;0.601;1;0;incongruent;incorrect;0
1029.0;215;1;0.4844;1;1;incongruent;correct;0
1033.0;216;1;0.535;1;1;incongruent;correct;0
1036.0;217;1;0.5176;1;1;incongruent;correct;0
1039.0;218;1;0.3845;1;1;incongruent;correct;0
1043.0;219;0;0.5184;1;0;incongruent;correct;0
1046.0;220;1;1.052;0;1;incongruent;correct;0
1049.0;221;1;0.5508;1;1;incongruent;correct;0
1053.0;222;1;0.5343;1;1;congruent;correct;0
1056.0;223;0;0.6348;1;0;congruent;correct;0
1059.0;224;0;0.5342;1;0;incongruent;correct;1
1064.0;225;1;0.5682;1;1;incongruent;correct;0
1067.0;226;0;0.5515;0;0;congruent;correct;0
1071.0;227;0;1.102;1;0;congruent;correct;0
1076.0;228;0;0.5513;1;0;incongruent;correct;1
1081.0;229;0;0.5675;1;0;incongruent;correct;0
1085.0;230;0;0.5009;1;0;congruent;correct;1
1090.0;231;1;0.6014;1;1;congruent;correct;0
1094.0;232;0;0.6016;1;0;incongruent;correct;0
1097.0;233;0;0.4846;0;0;congruent;correct;0
1100.0;234;0;0.4846;0;0;congruent;correct;0
1103.0;235;0;0.4674;0;0;congruent;correct;0
1106.0;236;0;0.5176;0;0;congruent;correct;0
1110.0;237;0;0.4681;0;0;congruent;correct;1
1115.0;238;0;0.5842;0;0;congruent;correct;0
1118.0;239;0;0.4674;1;0;congruent;correct;0
1121.0;240;0;0.7009;1;0;incongruent;correct;1
